support_rule,scope,group,threshold,retained_rows,total_rows,coverage_fraction
Q99,EXACT_PAIR,lat_121_01_15_ID_6.csv,4.228719709886236,716,718,0.9972144846796658
Q99,EXACT_PAIR,lat_121_05_8_ID_4.csv,4.228719709886236,663,671,0.9880774962742176
Q99,EXACT_PAIR,lat_121_05_8_ID_5.csv,4.228719709886236,759,765,0.9921568627450981
Q99,EXACT_PAIR,lat_121_05_8_ID_6.csv,4.228719709886236,749,749,1.0
Q99,EXACT_PAIR,lat_db_01_15_ID_4.csv,4.228719709886236,670,670,1.0
Q99,EXACT_PAIR,lat_db_01_15_ID_5.csv,4.228719709886236,634,634,1.0
Q99,EXACT_PAIR,lat_db_01_15_ID_6.csv,4.228719709886236,854,854,1.0
Q99,EXACT_PAIR,lat_db_06_8_ID_4.csv,4.228719709886236,791,791,1.0
Q99,EXACT_PAIR,lat_db_06_8_ID_5.csv,4.228719709886236,666,666,1.0
Q99,EXACT_PAIR,lat_db_06_8_ID_6.csv,4.228719709886236,662,667,0.992503748125937
Q99,EXACT_PAIR,lat_db_30_5_ID_4.csv,4.228719709886236,1132,1148,0.9860627177700348
Q99,EXACT_PAIR,lat_db_30_5_ID_5.csv,4.228719709886236,1230,1263,0.9738717339667459
Q99,EXACT_PAIR,lon_3211_02_12_ID_4.csv,4.228719709886236,591,625,0.9456
Q99,EXACT_PAIR,lon_3211_02_12_ID_5.csv,4.228719709886236,738,764,0.9659685863874345
Q99,EXACT_PAIR,lon_3211_15_6_ID_4.csv,4.228719709886236,1181,1186,0.9957841483979764
Q99,EXACT_PAIR,lon_3211_15_6_ID_5.csv,4.228719709886236,1240,1249,0.9927942353883107
Q99,EXACT_PAIR,lon_db_03_12_ID_4.csv,4.228719709886236,586,593,0.9881956155143339
Q99,EXACT_PAIR,lon_db_03_12_ID_5.csv,4.228719709886236,614,622,0.9871382636655949
Q99,EXACT_PAIR,lon_db_03_12_ID_6.csv,4.228719709886236,725,735,0.9863945578231292
Q99,EXACT_PAIR,lon_db_23_6_ID_4.csv,4.228719709886236,1157,1157,1.0
Q99,EXACT_PAIR,lon_db_23_6_ID_5.csv,4.228719709886236,1365,1365,1.0
Q99,EXACT_PAIR,lon_db_23_6_ID_6.csv,4.228719709886236,1182,1182,1.0
