outer_hold_id,selected_config_id,seed,primary_score,loss_epoch1,loss_epoch120,train_groups,validation_groups,train_rows,validation_rows
1,MLP_128_128_64_LR_3e-4,20260919,0.5969858330532589,0.963188964525894,0.3181512854764559,18,9,15915,7295
1,MLP_128_128_64_LR_3e-4,20260920,0.5947263150123471,0.968271820704995,0.3134829544306094,18,9,15915,7295
1,MLP_128_128_64_LR_3e-4,20260921,0.5983140951470401,0.9701543271368845,0.31711491030987615,18,9,15915,7295
2,MLP_128_64_LR_1e-3,20260919,0.5973381653376846,0.8152513524124817,0.27184967220884443,18,9,15087,8123
2,MLP_128_64_LR_1e-3,20260920,0.5979689132781695,0.8073077269375685,0.26901651046519015,18,9,15087,8123
2,MLP_128_64_LR_1e-3,20260921,0.5885451514190858,0.8349169973387516,0.2696088660705061,18,9,15087,8123
3,MLP_128_128_64_LR_3e-4,20260919,0.5648242087449051,0.965047844554997,0.3242138095054111,18,9,15418,7792
3,MLP_128_128_64_LR_3e-4,20260920,0.5649280454208865,0.9702774744968817,0.31934379026911897,18,9,15418,7792
3,MLP_128_128_64_LR_3e-4,20260921,0.5664139679084889,0.9693558370226477,0.32457865964608107,18,9,15418,7792
