pair_group,flight_id,median_max_clean_iced_knn_distance,locked_pair_macro_nrmse
lat_121_01_15_ID_4.csv,4,0.6204309289502807,0.5648481199518985
lat_121_01_15_ID_5.csv,5,0.8391289010502885,0.6263333565894216
lat_121_01_15_ID_6.csv,6,0.712145016900877,0.601269294115279
lat_121_05_8_ID_4.csv,4,0.79284836193757,0.639374798171957
lat_121_05_8_ID_5.csv,5,1.013788042399183,0.7092309229908677
lat_121_05_8_ID_6.csv,6,0.7911790307323474,0.6357324149176204
lat_db_01_15_ID_4.csv,4,0.6875351777317513,0.4592906978475518
lat_db_01_15_ID_5.csv,5,0.7347506976096811,0.5790061891396031
lat_db_01_15_ID_6.csv,6,0.7385375227062585,0.5344056996771466
lat_db_06_8_ID_4.csv,4,0.8238068686218549,0.6225878617913667
lat_db_06_8_ID_5.csv,5,0.8767714120436754,0.7341276886863738
lat_db_06_8_ID_6.csv,6,0.92536202493689,0.5932421653698873
lat_db_30_5_ID_4.csv,4,0.8650941338621134,0.6134712278670028
lat_db_30_5_ID_5.csv,5,0.7869115329963892,0.5886259709409335
lon_3211_02_12_ID_4.csv,4,0.6611358999715261,0.5427655784681827
lon_3211_02_12_ID_5.csv,5,0.6624343597922259,0.4586667974265039
lon_3211_15_6_ID_4.csv,4,0.6792190890066043,0.3947630544202067
lon_3211_15_6_ID_5.csv,5,0.728850931921383,0.4597714749910584
lon_db_03_12_ID_4.csv,4,0.5728631044439159,0.4250458573530529
lon_db_03_12_ID_5.csv,5,0.5773190783874329,0.43743282518618026
lon_db_03_12_ID_6.csv,6,0.6142473986604089,0.461632465145908
lon_db_23_6_ID_4.csv,4,0.6195391699075125,0.4383585621416346
lon_db_23_6_ID_5.csv,5,0.6304192793074749,0.4265982816639753
lon_db_23_6_ID_6.csv,6,0.6253519481575167,0.41315488115229876
