pair_group,flight_id,feature,mean_delta_nrmse_over_repeats,sd_delta_nrmse_over_repeats,min_delta_nrmse_over_repeats,max_delta_nrmse_over_repeats,repeats
lat_121_01_15_ID_4.csv,4,Va_EKF_CG,0.002124856669983177,0.0012018842771196457,0.00017907597300936828,0.0048360304488854755,20
lat_121_01_15_ID_4.csv,4,alpha,0.016771877591148777,0.003908765544505361,0.01072359727311567,0.02374601844953894,20
lat_121_01_15_ID_4.csv,4,beta,0.03922992105739116,0.0072518203956577236,0.027555752261341215,0.057125339475186054,20
lat_121_01_15_ID_4.csv,4,p,0.04750845141232847,0.0036515652369719888,0.03849898551649922,0.053219884460725675,20
lat_121_01_15_ID_4.csv,4,q,0.059203071272923194,0.003361939325559027,0.05495840704342192,0.06619022929464724,20
lat_121_01_15_ID_4.csv,4,r,0.01330414396009949,0.0018102540467727572,0.008710445751375473,0.015857588475164164,20
lat_121_01_15_ID_4.csv,4,aileron,0.06171802214111445,0.004335882196182469,0.05402516531431267,0.07174901353724117,20
lat_121_01_15_ID_4.csv,4,elevator,0.04128219860987041,0.0012812339686795985,0.038314017779014,0.04308214036372393,20
lat_121_01_15_ID_5.csv,5,Va_EKF_CG,0.0013591938070659005,0.0014340425754529932,-0.001159834140033067,0.0043169011264416746,20
lat_121_01_15_ID_5.csv,5,alpha,0.02392636089775004,0.002512615541919624,0.018853544104717956,0.027565967944094605,20
lat_121_01_15_ID_5.csv,5,beta,0.061211342578635385,0.013509207737033775,0.03206506487988692,0.09075274943507039,20
lat_121_01_15_ID_5.csv,5,p,0.03800517177507777,0.005167766266073219,0.029290582568124224,0.04952482078343612,20
lat_121_01_15_ID_5.csv,5,q,0.08089964198949,0.0035735588488323695,0.07146647390193628,0.08811543635428898,20
lat_121_01_15_ID_5.csv,5,r,0.034691148123653995,0.004241218367101064,0.024970840550791684,0.03965685274673836,20
lat_121_01_15_ID_5.csv,5,aileron,0.09396946209124002,0.0059544903762303435,0.08437822330452949,0.1045858348883858,20
lat_121_01_15_ID_5.csv,5,elevator,0.044394733415640916,0.002538889691268059,0.03939111673630924,0.04829498160617829,20
lat_121_01_15_ID_6.csv,6,Va_EKF_CG,-0.0005761361932950293,0.0008590696041536976,-0.002110192104313513,0.0009206494578503088,20
lat_121_01_15_ID_6.csv,6,alpha,0.03669787835806558,0.005717655953461342,0.02613819007512541,0.045227006603497766,20
lat_121_01_15_ID_6.csv,6,beta,0.06290986562942849,0.010231502383698124,0.04649157640082646,0.0757647068767282,20
lat_121_01_15_ID_6.csv,6,p,0.06028530855509841,0.004813072932551008,0.050539711094928164,0.06838445173805896,20
lat_121_01_15_ID_6.csv,6,q,0.11136986969822153,0.004596602676739979,0.10348374445813546,0.12093349251751073,20
lat_121_01_15_ID_6.csv,6,r,0.0210796835496192,0.002772520165969628,0.016981770495961834,0.025742407285959668,20
lat_121_01_15_ID_6.csv,6,aileron,0.1154102021456761,0.004708214640329802,0.10871640682968087,0.12806813199794553,20
lat_121_01_15_ID_6.csv,6,elevator,0.050963563719530605,0.0031604209552973978,0.04355405769981424,0.055183661081044444,20
lat_121_05_8_ID_4.csv,4,Va_EKF_CG,-0.0002668726946235267,0.001882793273616545,-0.004599184023405645,0.002808761320468145,20
lat_121_05_8_ID_4.csv,4,alpha,0.032743858206255215,0.006138123984194767,0.022892163701821233,0.044639928418880204,20
lat_121_05_8_ID_4.csv,4,beta,0.48009969075741943,0.02261105194928537,0.446205393929772,0.5176191971988521,20
lat_121_05_8_ID_4.csv,4,p,0.06631996328277254,0.003811274074154866,0.05923170325512639,0.07257259035383656,20
lat_121_05_8_ID_4.csv,4,q,0.040870921978029426,0.0032182708219212555,0.03530195859054541,0.04554086371615407,20
lat_121_05_8_ID_4.csv,4,r,0.11944783464388917,0.006564684289767307,0.10070217166052142,0.1306822711087272,20
lat_121_05_8_ID_4.csv,4,aileron,0.17727268137810942,0.007748840715918853,0.15552318430125456,0.1946354919623987,20
lat_121_05_8_ID_4.csv,4,elevator,0.022105949269386783,0.001887832669588192,0.018189727409765655,0.025012064775443044,20
lat_121_05_8_ID_5.csv,5,Va_EKF_CG,0.004825296422123687,0.0012840574137225479,0.0018279903827400634,0.00766051250572497,20
lat_121_05_8_ID_5.csv,5,alpha,0.016092431455819577,0.0034912795328324057,0.009159265972439323,0.021218556648791576,20
lat_121_05_8_ID_5.csv,5,beta,0.45389893735298664,0.01764096518278219,0.41450567162473273,0.48912421109402826,20
lat_121_05_8_ID_5.csv,5,p,0.07573441416442994,0.005430695390205061,0.06461697744288131,0.0835424369452985,20
lat_121_05_8_ID_5.csv,5,q,0.031408024385157926,0.0026987998671424126,0.026854134436946064,0.0369334515062365,20
lat_121_05_8_ID_5.csv,5,r,0.07881965840238295,0.005922030594238505,0.06950580817577945,0.09130754630823334,20
lat_121_05_8_ID_5.csv,5,aileron,0.15613987652974387,0.011375911595591022,0.12868363698861107,0.1724601810576506,20
lat_121_05_8_ID_5.csv,5,elevator,0.0046411421567915615,0.0026523964026441953,-0.0005184582233065393,0.00945586319726388,20
lat_121_05_8_ID_6.csv,6,Va_EKF_CG,-0.0015794889758103448,0.002731384310017157,-0.00602890800118161,0.003730813311428771,20
lat_121_05_8_ID_6.csv,6,alpha,0.006796582172813865,0.002206995056273832,0.0033478551678486346,0.01022989784622641,20
lat_121_05_8_ID_6.csv,6,beta,0.4449956940232192,0.025689009362344407,0.4013704436016985,0.4863108784232928,20
lat_121_05_8_ID_6.csv,6,p,0.07289300846815891,0.006812517606518977,0.061388888400136676,0.08313266175948508,20
lat_121_05_8_ID_6.csv,6,q,0.03210110381555871,0.0037835121685369628,0.025124096935298712,0.04026585127636895,20
lat_121_05_8_ID_6.csv,6,r,0.07088098904433315,0.006368532796236916,0.06036437787390647,0.08459508336531374,20
lat_121_05_8_ID_6.csv,6,aileron,0.15141386817901653,0.008430936717150927,0.1337159599708958,0.16387622596149443,20
lat_121_05_8_ID_6.csv,6,elevator,0.015035357665736165,0.0026626627198931096,0.009662421449695313,0.019210174774413113,20
lat_db_01_15_ID_4.csv,4,Va_EKF_CG,0.005245735846329838,0.0008422873995127187,0.003556916950341771,0.0068856060151151754,20
lat_db_01_15_ID_4.csv,4,alpha,0.02828437643525586,0.004759179939034955,0.019652370129283336,0.03668320971071404,20
lat_db_01_15_ID_4.csv,4,beta,0.060309680242659626,0.004905477081845127,0.05223227933522273,0.06814837312513428,20
lat_db_01_15_ID_4.csv,4,p,0.05494268860355116,0.005722351568277797,0.04406154430104864,0.06549539776428254,20
lat_db_01_15_ID_4.csv,4,q,0.03895495455628424,0.0028076332461266485,0.03418650694154646,0.04565393983440652,20
lat_db_01_15_ID_4.csv,4,r,0.01849433146568561,0.0024476613170229013,0.014706422825371213,0.024920479717986055,20
lat_db_01_15_ID_4.csv,4,aileron,0.10108191223453447,0.004779646895782269,0.09288724119097119,0.11191541253444731,20
lat_db_01_15_ID_4.csv,4,elevator,0.024904755613390887,0.002449477293574624,0.019728143446083146,0.028209565164007966,20
lat_db_01_15_ID_5.csv,5,Va_EKF_CG,-0.0029083500189095723,0.0018974881845859697,-0.006131264456591512,-0.00014956672876720312,20
lat_db_01_15_ID_5.csv,5,alpha,0.0054763778385226395,0.0038090266707203847,-0.0011676883028459706,0.012943733465381357,20
lat_db_01_15_ID_5.csv,5,beta,0.02407804147845573,0.0053979280280580435,0.01643249507434663,0.03773111172081123,20
lat_db_01_15_ID_5.csv,5,p,0.04232284465516992,0.006285092824676533,0.02725374729039487,0.05583521108511724,20
lat_db_01_15_ID_5.csv,5,q,0.026207009280071906,0.004102931513677078,0.02066143241980456,0.03320307280018975,20
lat_db_01_15_ID_5.csv,5,r,0.005398562758260578,0.0030213356633279,-0.0016922813942467085,0.0109843142330186,20
lat_db_01_15_ID_5.csv,5,aileron,0.05340125083875234,0.008225213214294091,0.0418147921554517,0.07230854981559087,20
lat_db_01_15_ID_5.csv,5,elevator,0.021135944126593215,0.0031429009118895536,0.014120864900695196,0.027989265724398527,20
lat_db_01_15_ID_6.csv,6,Va_EKF_CG,-0.0005773858407899513,0.0011619775415182736,-0.002886479716031176,0.0013077132508615419,20
lat_db_01_15_ID_6.csv,6,alpha,0.012442823598463548,0.0029518259685460584,0.005475884399987585,0.018584663521581057,20
lat_db_01_15_ID_6.csv,6,beta,0.03900616178393983,0.004624470658013148,0.029570254547527153,0.04652478676336891,20
lat_db_01_15_ID_6.csv,6,p,0.055487732927098875,0.0041509723865570365,0.050746219214174104,0.06766427077284065,20
lat_db_01_15_ID_6.csv,6,q,0.038267120254796595,0.003599933406713945,0.033525108994397534,0.04785634786146897,20
lat_db_01_15_ID_6.csv,6,r,0.020408505126928166,0.0022628843183731184,0.016990223823074135,0.02517925853883063,20
lat_db_01_15_ID_6.csv,6,aileron,0.09453810683762921,0.0059110834992432675,0.08322259331614013,0.10247503048117457,20
lat_db_01_15_ID_6.csv,6,elevator,0.02520168898148778,0.0020001204561702424,0.021717691549167806,0.02870631428568937,20
lat_db_06_8_ID_4.csv,4,Va_EKF_CG,0.0002915261601456276,0.0017395133694599776,-0.004350323804007017,0.0026699150588705978,20
lat_db_06_8_ID_4.csv,4,alpha,0.019290690747243582,0.002583887821138453,0.014259597760848508,0.022444935800499333,20
lat_db_06_8_ID_4.csv,4,beta,0.2750318757185398,0.014921620560564073,0.2483201396802326,0.30311936105760917,20
lat_db_06_8_ID_4.csv,4,p,0.068151168537176,0.004698649649431592,0.0580003840635529,0.07902189787363578,20
lat_db_06_8_ID_4.csv,4,q,0.026135422373799167,0.001917727057182985,0.022871003058155592,0.02978764405529999,20
lat_db_06_8_ID_4.csv,4,r,0.08558649964748985,0.00477745474916464,0.07770979453482185,0.09471740379626126,20
lat_db_06_8_ID_4.csv,4,aileron,0.15126258929883366,0.007635575543102125,0.13832191979384068,0.16478644795374608,20
lat_db_06_8_ID_4.csv,4,elevator,0.021689042217586364,0.001691003513670531,0.017532843166641165,0.02417761693666265,20
lat_db_06_8_ID_5.csv,5,Va_EKF_CG,-0.011259414209272078,0.001969984763041035,-0.015602371787139413,-0.008442506994921328,20
lat_db_06_8_ID_5.csv,5,alpha,0.01663695979850973,0.0036335146064340866,0.009257587828699343,0.02350351785648419,20
lat_db_06_8_ID_5.csv,5,beta,0.2551097065663872,0.017190777998734943,0.2198996865748527,0.2862088150197387,20
lat_db_06_8_ID_5.csv,5,p,0.06608832827993086,0.005010773511370333,0.054928556705282516,0.07544157789835981,20
lat_db_06_8_ID_5.csv,5,q,0.027371824778197808,0.0030130640929078,0.022477355747673622,0.03312814841319012,20
lat_db_06_8_ID_5.csv,5,r,0.0716569349762783,0.005197091170558928,0.0610213445128609,0.08199037792141961,20
lat_db_06_8_ID_5.csv,5,aileron,0.13353424166826539,0.0056193890572937685,0.12082471727752586,0.1450045236151256,20
lat_db_06_8_ID_5.csv,5,elevator,0.020351822121401263,0.0019117605504643965,0.017036390053337902,0.023511036755962333,20
lat_db_06_8_ID_6.csv,6,Va_EKF_CG,0.004457499488051353,0.004200007651887683,-0.0014689732277113343,0.014898740232387131,20
lat_db_06_8_ID_6.csv,6,alpha,0.01172320898736674,0.006843729680854257,-0.0017472797683182328,0.023007591011045325,20
lat_db_06_8_ID_6.csv,6,beta,0.3878592879499878,0.026530642283173603,0.3474405117912025,0.445847793243516,20
lat_db_06_8_ID_6.csv,6,p,0.06432089088880719,0.004382207746240617,0.05385232904930193,0.06967258785919872,20
lat_db_06_8_ID_6.csv,6,q,0.027102347368297065,0.0028529149778988958,0.02116589484246223,0.03277422977087319,20
lat_db_06_8_ID_6.csv,6,r,0.1042051667758683,0.004607165552087553,0.09315401416809477,0.11168227479781367,20
lat_db_06_8_ID_6.csv,6,aileron,0.1700190621439959,0.0068862407227197825,0.1585059951340233,0.18222859910590594,20
lat_db_06_8_ID_6.csv,6,elevator,0.028357812971855502,0.003980309088004905,0.020849921934528504,0.03688160645669769,20
lat_db_30_5_ID_4.csv,4,Va_EKF_CG,0.00023076820306266454,0.002803615201517259,-0.00454049067106832,0.0067329725444007504,20
lat_db_30_5_ID_4.csv,4,alpha,0.03420918243440341,0.003884569256779461,0.028884257330052066,0.04229948783793569,20
lat_db_30_5_ID_4.csv,4,beta,0.21059117746853157,0.010466268484339302,0.18488910874844056,0.22595661281905866,20
lat_db_30_5_ID_4.csv,4,p,0.046831945764837415,0.00343375509949626,0.039936349730133935,0.05267416680811143,20
lat_db_30_5_ID_4.csv,4,q,0.03446982606351832,0.0018386262157094135,0.030658006578324848,0.037117140179180774,20
lat_db_30_5_ID_4.csv,4,r,0.04681017641698567,0.003141272748331897,0.040700416257977046,0.05264674182900575,20
lat_db_30_5_ID_4.csv,4,aileron,0.1054132813457747,0.0055794760264022145,0.09658890252319896,0.11702982915299642,20
lat_db_30_5_ID_4.csv,4,elevator,0.023471506990356772,0.002212736972624923,0.02060975196604342,0.028911314796667864,20
lat_db_30_5_ID_5.csv,5,Va_EKF_CG,0.006599562525282698,0.0018174946242194283,0.0022975592334181227,0.010635669855545649,20
lat_db_30_5_ID_5.csv,5,alpha,0.01747458702226399,0.002651147140499257,0.013011050544033953,0.02419149808765919,20
lat_db_30_5_ID_5.csv,5,beta,0.21929824103625953,0.012069286538232402,0.1960246065833684,0.23742285570208066,20
lat_db_30_5_ID_5.csv,5,p,0.05445118669610467,0.0037325233484012217,0.04869228356668065,0.06189886317495874,20
lat_db_30_5_ID_5.csv,5,q,0.03383762704620106,0.001985875929998251,0.028681825042450537,0.037447355825331985,20
lat_db_30_5_ID_5.csv,5,r,0.03378740778949205,0.00348267546611864,0.027378487944371144,0.04257277939346027,20
lat_db_30_5_ID_5.csv,5,aileron,0.09440679603073246,0.004365397224904462,0.08718371265144487,0.1023905891448138,20
lat_db_30_5_ID_5.csv,5,elevator,0.025726837095068112,0.0020094162403210113,0.022176474392680223,0.02901891868101414,20
lon_3211_02_12_ID_4.csv,4,Va_EKF_CG,0.09284399579292907,0.004954330327581365,0.08573078522096123,0.09930115555173946,20
