family,outer_hold_id,config_id,inner_fold,inner_score,train_groups,validation_groups,train_rows,validation_rows
RIDGE,3,RIDGE_A_100,1,0.791222196920709,10,8,9350,6068
RIDGE,3,RIDGE_A_100,2,0.8113542149457513,12,6,9013,6405
RIDGE,3,RIDGE_A_100,3,0.678049739795792,14,4,12473,2945
POLY2_RIDGE,1,POLY2_A_0p0001,1,0.7956552812206649,10,8,9306,6609
POLY2_RIDGE,1,POLY2_A_0p0001,2,0.9124870590173865,12,6,9500,6415
POLY2_RIDGE,1,POLY2_A_0p0001,3,0.6603390277740671,14,4,13024,2891
POLY2_RIDGE,1,POLY2_A_0p001,1,0.7956511138379336,10,8,9306,6609
POLY2_RIDGE,1,POLY2_A_0p001,2,0.9124801123859351,12,6,9500,6415
POLY2_RIDGE,1,POLY2_A_0p001,3,0.6603396334951955,14,4,13024,2891
POLY2_RIDGE,1,POLY2_A_0p01,1,0.7956097061431592,10,8,9306,6609
POLY2_RIDGE,1,POLY2_A_0p01,2,0.9124108502049442,12,6,9500,6415
POLY2_RIDGE,1,POLY2_A_0p01,3,0.6603457046391282,14,4,13024,2891
POLY2_RIDGE,1,POLY2_A_0p1,1,0.795220967819617,10,8,9306,6609
POLY2_RIDGE,1,POLY2_A_0p1,2,0.9117380911692954,12,6,9500,6415
POLY2_RIDGE,1,POLY2_A_0p1,3,0.6604077532483738,14,4,13024,2891
POLY2_RIDGE,1,POLY2_A_1,1,0.7929950502316429,10,8,9306,6609
POLY2_RIDGE,1,POLY2_A_1,2,0.9065650907525329,12,6,9500,6415
POLY2_RIDGE,1,POLY2_A_1,3,0.6611188555513517,14,4,13024,2891
POLY2_RIDGE,1,POLY2_A_10,1,0.7923366437503586,10,8,9306,6609
POLY2_RIDGE,1,POLY2_A_10,2,0.8948032560646543,12,6,9500,6415
POLY2_RIDGE,1,POLY2_A_10,3,0.6675453843059426,14,4,13024,2891
POLY2_RIDGE,1,POLY2_A_100,1,0.7888518269706793,10,8,9306,6609
POLY2_RIDGE,1,POLY2_A_100,2,0.884321494939702,12,6,9500,6415
POLY2_RIDGE,1,POLY2_A_100,3,0.6759923605909023,14,4,13024,2891
POLY2_RIDGE,2,POLY2_A_0p0001,1,0.7656514348959894,10,8,8862,6225
POLY2_RIDGE,2,POLY2_A_0p0001,2,0.8454948880855668,12,6,8725,6362
POLY2_RIDGE,2,POLY2_A_0p0001,3,0.6534698887702047,14,4,12587,2500
POLY2_RIDGE,2,POLY2_A_0p001,1,0.7656471323383901,10,8,8862,6225
POLY2_RIDGE,2,POLY2_A_0p001,2,0.8454896871598743,12,6,8725,6362
POLY2_RIDGE,2,POLY2_A_0p001,3,0.6534699595856129,14,4,12587,2500
POLY2_RIDGE,2,POLY2_A_0p01,1,0.7656044524781844,10,8,8862,6225
POLY2_RIDGE,2,POLY2_A_0p01,2,0.8454378309906319,12,6,8725,6362
POLY2_RIDGE,2,POLY2_A_0p01,3,0.6534706858788142,14,4,12587,2500
POLY2_RIDGE,2,POLY2_A_0p1,1,0.7652103885876794,10,8,8862,6225
POLY2_RIDGE,2,POLY2_A_0p1,2,0.8449341569246439,12,6,8725,6362
POLY2_RIDGE,2,POLY2_A_0p1,3,0.6534797149367687,14,4,12587,2500
POLY2_RIDGE,2,POLY2_A_1,1,0.7633285267668638,10,8,8862,6225
POLY2_RIDGE,2,POLY2_A_1,2,0.841057744511867,12,6,8725,6362
POLY2_RIDGE,2,POLY2_A_1,3,0.6537073202215247,14,4,12587,2500
