branch,required_claim_gate,fit_status,error,pairs,row_count,rank,required_rank,condition_number,largest_pair_fraction,jackknife_refits,delta_P_batt_ref_W,jackknife_se_W,one_sided_p,P_batt_clean_ref_W,P_batt_iced_ref_W,relative_penalty,relative_penalty_jackknife_se,gamma0_loo_min_W,gamma0_loo_max_W
PRIMARY,True,OK,,12,9856,11,11,5.123251824086224,0.1226663961038961,12,35.46097758045846,3.545588560930876,3.691195736267707e-07,169.81515262590946,205.27613020636792,0.2088210447189977,0.023012272825550236,33.51022193479907,36.85206877145502
EQUAL_PAIR,True,OK,,12,9856,11,11,5.2738047227796825,0.1226663961038961,12,34.01064810396634,3.5335238043733432,5.407688897069184e-07,170.9446601584423,204.95530826240864,0.19895706641227123,0.022793765131496686,32.27543600620401,35.8592410001355
BETA_AUG,True,OK,,12,9856,12,12,5.15036196582255,0.1226663961038961,12,35.05339781171949,3.8046772982324244,8.32985415974319e-07,171.79302187720623,206.84641968892572,0.20404436355264108,0.025071223346788594,32.446464474123516,36.489719032380584
KINEMATIC_ENERGY_STATE_AUG,True,OK,,12,9856,13,13,9.612181004420485,0.1226663961038961,12,28.393657382026866,2.3084606853140053,4.511450638347573e-08,168.37002138724702,196.7636787692739,0.16863843781739585,0.014834010366452738,27.303837075631108,29.946639733730706
THROTTLE_AUG,False,OK,,12,9856,12,12,6.078947626972332,0.1226663961038961,12,-2.3509586475686177,5.923237292801854,0.6504849045634795,199.05588537271024,196.7049267251416,-0.011810545782993084,0.029683999263737323,-5.330750395232119,0.2077297511788472
RPS_AUG,False,OK,,12,9856,12,12,6.604117190089129,0.1226663961038961,12,-23.58465212347303,1.881422566765565,0.999999962914171,211.89466277563005,188.31001065215702,-0.11130366293579667,0.008128582521026119,-24.603977156704786,-22.47253656716797
