family,outer_hold_id,selected_config_id,selected_inner_score,outer_primary_score,train_groups,validation_groups,train_rows,validation_rows,rmse_Faero_X,rmse_Faero_Y,rmse_Faero_Z,rmse_Maero_L,rmse_Maero_M,rmse_Maero_N,mae_Faero_X,mae_Faero_Y,mae_Faero_Z,mae_Maero_L,mae_Maero_M,mae_Maero_N
OLS,1,OLS_FIXED,0.7592271809225677,0.738524242814478,18,9,15915,7295,1.1162399646913357,0.9236008445292454,6.248625611132242,0.44716742730283965,0.16508779618226666,0.11336397717269388,0.718106007027631,0.6207787814024632,4.045225060831876,0.27023434125036455,0.09576360525597971,0.07670502006590939
OLS,2,OLS_FIXED,0.7329570581218775,0.7363612203909203,18,9,15087,8123,1.089613841716123,1.036628157985528,6.085475190698775,0.44174834421651415,0.1604311603568912,0.12590374733107243,0.7129175345484223,0.7783087525542004,3.995120893824291,0.2730776392617157,0.09291559430238959,0.09221606943747639
OLS,3,OLS_FIXED,0.761243647281741,0.7052897251014403,18,9,15418,7792,1.0586405318216228,0.9203343283591384,5.862496894232095,0.4192900926809443,0.1565702794573401,0.11060396336606407,0.6893108995882403,0.6214947533265953,3.7961818923305928,0.24908693008664068,0.09044108047443945,0.07386945053078578
RIDGE,1,RIDGE_A_100,0.7582148370681191,0.7384554974481671,18,9,15915,7295,1.1164471658737403,0.9238000514332143,6.2493488309382315,0.44716250701326093,0.16512887364660467,0.113386622661244,0.7179461070764535,0.6202168868665235,4.045042198343143,0.27029399846013447,0.09546614393289449,0.07661182415438046
RIDGE,2,RIDGE_A_100,0.7320425793601263,0.7353656443840952,18,9,15087,8123,1.088780157386959,1.0345208045508099,6.088613564786279,0.44154529675912096,0.1603648297613102,0.12562150121322216,0.712020811753146,0.7755408146656516,3.996458250415618,0.27285039982084786,0.09252835911770003,0.09184947159866089
RIDGE,3,RIDGE_A_100,0.7602087172207508,0.7052590035943254,18,9,15418,7792,1.0586774732917883,0.920562255667288,5.865147464543737,0.41935185350759635,0.15659886220004565,0.11063419965521597,0.688901631568,0.6208791660781259,3.7960227075941986,0.2491603375273382,0.0901259866072582,0.07377242622489458
POLY2_RIDGE,1,POLY2_A_100,0.7830552275004279,0.6985646958953312,18,9,15915,7295,0.9285296779047518,0.9013394149212152,5.904264838875297,0.43067039031387283,0.15210699872025002,0.10947890501530808,0.6697168003526814,0.6217438783669418,3.8311136484271824,0.26861245234124714,0.0895720716846014,0.07560498548903163
POLY2_RIDGE,2,POLY2_A_100,0.7500935033452013,0.6929857393573422,18,9,15087,8123,0.8838312023336018,1.0170246144713775,5.883939837590056,0.42628856439409485,0.1521593973484124,0.12191523731146217,0.6386085983075094,0.7610223842496254,3.824835294621412,0.27064429806015056,0.08727245390203293,0.0886540895497993
POLY2_RIDGE,3,POLY2_A_1,0.7630031486194194,0.6627156903462441,18,9,15418,7792,0.8484250158569578,0.9068310313734922,5.369699866134499,0.4060039069139271,0.14499359203040382,0.10924565885091474,0.6219078791498743,0.6195634049077826,3.5670986381636087,0.24993149463156683,0.08693889828832066,0.0738853646310762
EXTRA_TREES,1,ET_FULL_LEAF1,0.666790808943687,0.5695470839080015,18,9,15915,7295,0.8368728056274577,0.724583238524601,4.6099862880732845,0.3543467809668902,0.11409218415961447,0.08803514343009174,0.599564858637569,0.5110853357192428,3.1382565494165977,0.2244997992755176,0.06919676363469633,0.06100363081093986
EXTRA_TREES,2,ET_FULL_LEAF1,0.658903147664848,0.5696294651619791,18,9,15087,8123,0.7779180535781003,0.8435203305488227,4.6261900496099395,0.35734893992950895,0.11411835427130158,0.10182141789777785,0.5674988826929679,0.5868307043181986,3.140386463697855,0.2271784457056179,0.06730208860402509,0.0686572708598465
EXTRA_TREES,3,ET_FULL_LEAF1,0.6679484539744016,0.5539947153100475,18,9,15418,7792,0.7277207527754107,0.7445725781753707,4.432475808830487,0.3411919435919649,0.10995427907569119,0.09003720197566775,0.5445533826259455,0.5440626648878625,3.085441223905126,0.22431668538298605,0.06812213930541627,0.06388625042365607
