"Check","Expected","Observed","Pass"
"Parent A5A status","PASS + LOCKED","PASS_P1_A5A_PROPULSION_SENSITIVE_DRAG_PREANALYSIS_FREEZE / LOCKED","True"
"Parent A5B status","PASS / robust identification / validation unopened","PASS_P1_A5B_IDENTIFICATION_DRAG_FIT_AND_SENSITIVITY_EXECUTION / DRAG_SIGNAL_ROBUST_IDENTIFICATION / val=False","True"
"Frozen source fingerprint","18D12A3A0A6603800F5D6961CC006F8C9C50533B16FEBACC7DF9E37FCD7EE689","18D12A3A0A6603800F5D6961CC006F8C9C50533B16FEBACC7DF9E37FCD7EE689","True"
"Exact longitudinal validation pairs","10","10","True"
"Validation support",">=6 represented pairs with >=25 rows/config/pair","10 / support=True","True"
"Required-model numerical integrity","True","True","True"
"HD1 validation outcome","NOT AN EXECUTION PASS/FAIL TARGET","DRAG_CONFIRMED_STRONG; p=2.11453192990943E-06","True"
"W9 role","DESCRIPTIVE ONLY","True","True"
"Global execution integrity","True","True","True"
