branch,pairs,jackknife_refits,CL_rank,CL_required_rank,CL_condition_number,CD_rank,CD_required_rank,CD_condition_number,largest_pair_fraction,denominator_gate,CL_clean_ref,CL_iced_ref,delta_CL_ref,delta_CL_jackknife_se,delta_CL_loo_min,delta_CL_loo_max,CD_clean_ref,CD_iced_ref,delta_CD_ref,delta_CD_jackknife_se,E_clean_ref,E_iced_ref,delta_E_ref,delta_E_jackknife_se,relative_efficiency_degradation,relative_efficiency_degradation_jackknife_se,relative_efficiency_degradation_loo_min,relative_efficiency_degradation_loo_max,HE1_one_sided_p
PRIMARY_W5,12,12,11,11,5.118759132118766,11,11,5.118759132118766,0.12305327868852459,True,0.27358123471208695,0.29772990167856034,0.024148666966473387,0.0023393590691917275,0.02295293640750634,0.025511831955031594,0.04586614737890755,0.05398488626747738,0.008118738888569836,0.0009069134164766368,5.964774683428037,5.515060274525845,-0.4497144089021923,0.088041864672811,0.07539503715901219,0.014145893449156916,0.06580522493305396,0.08171728612099549,0.00012056887360306347
ETA1_W5,12,12,11,11,5.118759132118766,11,11,5.118759132118766,0.12305327868852459,True,0.27357934753095575,0.29743575809346606,0.02385641056251031,0.0023390502451945314,0.022660371349567776,0.025217116793381622,0.04590417482941992,0.06726357061291188,0.021359395783491962,0.0009446698091118554,5.959792296617412,4.4219442319699045,-1.5378480646475072,0.08126623341033841,0.2580371912491549,0.011004063278526498,0.2515227332558706,0.2637448103231317,4.81856691295322e-11
EQUAL_PAIR_W5,12,12,11,11,5.272106789565794,11,11,5.272106789565794,0.12305327868852459,True,0.273308085853156,0.2984843131555392,0.02517622730238317,0.0024023829529297323,0.02348959636401332,0.026212858263668315,0.045874450536875756,0.05404268091011092,0.008168230373235164,0.0008734844560458952,5.95774080462195,5.523121875689467,-0.43461892893248244,0.096601173343278,0.07295029159296584,0.015831799680765143,0.063886726441164,0.08269202247517438,0.0003776050623169793
BETA_AUG_W5,12,12,12,12,5.145982945775931,12,12,5.145982945775931,0.12305327868852459,True,0.27277817478703903,0.2970944530723858,0.02431627828534677,0.002427511078136873,0.022999020260770553,0.025765310161445232,0.04587349998857524,0.05399070427111492,0.008117204282539682,0.0008962535770479493,5.946312682811955,5.502696382335054,-0.4436163004769016,0.08274865179331166,0.07460359455351073,0.013412372957961124,0.06584929053933453,0.08073887652234679,8.480256678368424e-05
W7,12,12,11,11,5.115518506835774,11,11,5.115518506835774,0.1232495881383855,True,0.2754352373899835,0.29837074665095953,0.02293550926097604,0.0023124446487108328,0.02172469405273486,0.02419197610775381,0.04585640590223331,0.05389566745054018,0.008039261548306871,0.0009136392707033485,6.006472421262504,5.536080370927275,-0.4703920503352288,0.08681802141963438,0.07831419464610756,0.013810685006608363,0.06919061026622764,0.08472283355879873,7.2173433014793e-05
W9_STRESS,12,12,11,11,5.11331747785941,11,11,5.11331747785941,0.12344784768211921,True,0.2775755834514583,0.299280473836758,0.021704890385299713,0.0022740292363753315,0.0204920700482098,0.022769785306578805,0.04584634614378405,0.05379974841046246,0.007953402266678407,0.000918249335081902,6.054475586362352,5.56286010026316,-0.4916154860991915,0.08630066661024126,0.08119868997515667,0.013562411187377481,0.07256482979678625,0.08794477606384121,4.5469657354646087e-05
