branch,pairs,rank,required_rank,condition_number,largest_pair_fraction,jackknife_refits,gamma0_delta_CD_ref,gamma0_jackknife_se,gamma0_loo_min,gamma0_loo_max,mean_clean_reference_CD,relative_reference_increment,average_model_implied_delta_CD
PRIMARY_W5,12,11,11,5.118759132118766,0.12305327868852459,12,0.008118738888569834,0.0009069134164766361,0.007531182956616202,0.008674500392613041,0.04586614737890755,0.17700939260277607,0.008144681150257816
EQUAL_PAIR_W5,12,11,11,5.272106789565794,0.12305327868852459,12,0.008168230373235162,0.0008734844560458986,0.007672558031375076,0.008659548024280447,0.04587445053687574,0.17805620073136805,0.008208820884227372
BETA_AUG_W5,12,12,12,5.145982945775931,0.12305327868852459,12,0.008117204282539679,0.000896253577047953,0.00754308186028725,0.008632591841105017,0.04587349998857523,0.17694756852128712,0.008143683500769895
ETA1_W5,12,11,11,5.118759132118766,0.12305327868852459,12,0.021359395783491966,0.0009446698091118571,0.020827734082567953,0.021987138161292986,0.04590417482941992,0.4653039916927721,0.020644843372459122
W7,12,11,11,5.115518506835774,0.1232495881383855,12,0.008039261548306871,0.0009136392707033502,0.007440067007589018,0.00857806997220635,0.0458564059022333,0.17531381690590242,0.008096908486525996
W9_STRESS,12,11,11,5.11331747785941,0.12344784768211921,12,0.007953402266678407,0.0009182493350818994,0.007344588026760837,0.008474424603102642,0.04584634614378404,0.17347952313876486,0.00803223202375021
