repeat,feature,baseline_primary_nrmse,permuted_primary_nrmse,delta_primary_nrmse
1,Va_EKF_CG,0.5399890077502464,0.5635565801130796,0.023567572362833245
1,alpha,0.5399890077502464,0.7454972282613502,0.20550822051110385
1,beta,0.5399890077502464,0.675866604649528,0.13587759689928158
1,p,0.5399890077502464,0.5831170851314352,0.043128077381188845
1,q,0.5399890077502464,0.6628210959795323,0.12283208822928593
1,r,0.5399890077502464,0.5745794051867955,0.034590397436549125
1,aileron,0.5399890077502464,0.6282129764943688,0.08822396874412242
1,elevator,0.5399890077502464,0.5976319531208963,0.057642945370649956
2,Va_EKF_CG,0.5399890077502464,0.5648091989830075,0.024820191232761135
2,alpha,0.5399890077502464,0.7411242485899523,0.2011352408397059
2,beta,0.5399890077502464,0.6823435354798429,0.14235452772959656
2,p,0.5399890077502464,0.5837716676871297,0.04378265993688335
2,q,0.5399890077502464,0.663739031367414,0.12375002361716758
2,r,0.5399890077502464,0.5749603996092899,0.03497139185904352
2,aileron,0.5399890077502464,0.6252448907117709,0.08525588296152453
2,elevator,0.5399890077502464,0.59815720541719,0.05816819766694359
3,Va_EKF_CG,0.5399890077502464,0.5648593802534941,0.02487037250324775
3,alpha,0.5399890077502464,0.741953338374373,0.20196433062412666
3,beta,0.5399890077502464,0.6785296345231725,0.1385406267729261
3,p,0.5399890077502464,0.585157162413905,0.045168154663658644
3,q,0.5399890077502464,0.6644975788755639,0.12450857112531755
3,r,0.5399890077502464,0.576625314528752,0.0366363067785056
3,aileron,0.5399890077502464,0.6266298510849976,0.0866408433347512
3,elevator,0.5399890077502464,0.5969369242813614,0.05694791653111497
4,Va_EKF_CG,0.5399890077502464,0.5637344231155798,0.023745415365333367
4,alpha,0.5399890077502464,0.7424590724579856,0.2024700647077392
4,beta,0.5399890077502464,0.6741343348541097,0.1341453271038633
4,p,0.5399890077502464,0.5843817426324572,0.04439273488221085
4,q,0.5399890077502464,0.6633317864777304,0.123342778727484
4,r,0.5399890077502464,0.5751568920490582,0.03516788429881179
4,aileron,0.5399890077502464,0.6282621281912694,0.08827312044102298
4,elevator,0.5399890077502464,0.5975401387833563,0.05755113103310994
5,Va_EKF_CG,0.5399890077502464,0.5640326764124162,0.02404366866216978
5,alpha,0.5399890077502464,0.7421500715517931,0.20216106380154675
5,beta,0.5399890077502464,0.67871700143077,0.13872799368052358
5,p,0.5399890077502464,0.5819692984634046,0.04198029071315823
5,q,0.5399890077502464,0.6624569705293202,0.12246796277907379
5,r,0.5399890077502464,0.5758622490491032,0.03587324129885683
5,aileron,0.5399890077502464,0.6256059012370416,0.08561689348679524
5,elevator,0.5399890077502464,0.5976789243259607,0.05768991657571432
6,Va_EKF_CG,0.5399890077502464,0.5637549715220158,0.023765963771769427
6,alpha,0.5399890077502464,0.7394747471402408,0.19948573938999437
6,beta,0.5399890077502464,0.6789882724936435,0.13899926474339708
6,p,0.5399890077502464,0.5829803950013103,0.042991387251063884
6,q,0.5399890077502464,0.6624153172823654,0.12242630953211897
6,r,0.5399890077502464,0.5738046109608231,0.03381560321057675
6,aileron,0.5399890077502464,0.627780277769692,0.08779127001944564
6,elevator,0.5399890077502464,0.5986719806965094,0.05868297294626301
7,Va_EKF_CG,0.5399890077502464,0.5636405843695291,0.023651576619282744
7,alpha,0.5399890077502464,0.743762132377975,0.20377312462772856
7,beta,0.5399890077502464,0.6765023697322793,0.1365133619820329
7,p,0.5399890077502464,0.5819653668124262,0.04197635906217978
7,q,0.5399890077502464,0.6641635641471867,0.1241745563969403
7,r,0.5399890077502464,0.5744563636809024,0.034467355930655974
7,aileron,0.5399890077502464,0.6291574172830368,0.08916840953279037
7,elevator,0.5399890077502464,0.5979905616456332,0.05800155389538686
8,Va_EKF_CG,0.5399890077502464,0.5646400166949994,0.024651008944753028
8,alpha,0.5399890077502464,0.7391594824099798,0.19917047465973337
8,beta,0.5399890077502464,0.6770593936677317,0.13707038591748533
8,p,0.5399890077502464,0.5834514982321933,0.04346249048194695
8,q,0.5399890077502464,0.6639053835260923,0.12391637577584591
8,r,0.5399890077502464,0.5745155010702411,0.03452649331999469
8,aileron,0.5399890077502464,0.6273133217079837,0.08732431395773732
8,elevator,0.5399890077502464,0.5973743964112262,0.057385388660979864
9,Va_EKF_CG,0.5399890077502464,0.5642827167297649,0.024293708979518547
9,alpha,0.5399890077502464,0.7377585729256207,0.19776956517537436
9,beta,0.5399890077502464,0.6802201605853965,0.14023115283515009
9,p,0.5399890077502464,0.5825200516356525,0.04253104388540607
9,q,0.5399890077502464,0.6646750572618328,0.12468604951158646
9,r,0.5399890077502464,0.5744544711198523,0.034465463369605875
9,aileron,0.5399890077502464,0.6271127467016812,0.08712373895143477
9,elevator,0.5399890077502464,0.5972325593782303,0.05724355162798389
10,Va_EKF_CG,0.5399890077502464,0.563041904795223,0.023052897044976595
10,alpha,0.5399890077502464,0.7379939905963999,0.19800498284615353
10,beta,0.5399890077502464,0.6828517236656181,0.1428627159153717
10,p,0.5399890077502464,0.5835633321022264,0.043574324351980054
10,q,0.5399890077502464,0.6636567146963644,0.12366770694611806
