branch,configuration,file_name,source_rows,common_envelope_rows,invalid_rows,source_CD_diagnostic_nrmse,prop_thrust_reference_nrmse
W7,iced,lon_3211_15_6_ID_2.csv,597,416,0,0.08462543554757732,3.5139821700410456e-15
W7,clean,lon_3211_15_6_ID_3.csv,572,438,0,0.08485066109171695,4.982108877331261e-15
W7,iced,lon_3211_15_6_ID_3.csv,648,470,0,0.08640025829507836,3.473553723018405e-15
W7,clean,lon_db_03_12_ID_1.csv,332,299,0,0.09477452100923314,5.352025174342004e-15
W7,iced,lon_db_03_12_ID_1.csv,307,272,0,0.1200371920737335,4.073490733463693e-15
W7,clean,lon_db_03_12_ID_2.csv,412,378,0,0.07356771272043156,5.4083712534801606e-15
W7,iced,lon_db_03_12_ID_2.csv,426,377,0,0.08680928410732534,3.5704839987905544e-15
W7,clean,lon_db_03_12_ID_3.csv,333,299,0,0.08519759666979591,5.1705100662349236e-15
W7,iced,lon_db_03_12_ID_3.csv,319,273,0,0.09465543433610187,3.3339191602723007e-15
W7,clean,lon_db_23_6_ID_1.csv,469,395,0,0.06730963654137492,5.355297971888039e-15
W7,iced,lon_db_23_6_ID_1.csv,581,502,0,0.09780873039115821,3.714665194516609e-15
W7,clean,lon_db_23_6_ID_2.csv,522,466,0,0.0808461765651501,5.827432560070797e-15
W7,iced,lon_db_23_6_ID_2.csv,592,530,0,0.10154885589745236,3.831249498516161e-15
W7,clean,lon_db_23_6_ID_3.csv,695,638,0,0.07648932517170383,5.346365787066208e-15
W7,iced,lon_db_23_6_ID_3.csv,641,559,0,0.1025201325424162,4.0593868209909375e-15
W9_STRESS,clean,lon_3211_02_12_ID_1.csv,348,294,0,0.09186828574246461,5.089913658082575e-15
W9_STRESS,iced,lon_3211_02_12_ID_1.csv,302,235,0,0.07903802854189675,3.7765043036371495e-15
W9_STRESS,clean,lon_3211_02_12_ID_2.csv,413,360,0,0.07233432437504889,5.3601438504993605e-15
W9_STRESS,iced,lon_3211_02_12_ID_2.csv,330,262,0,0.06848661531735453,3.623226344028908e-15
W9_STRESS,clean,lon_3211_02_12_ID_3.csv,318,263,0,0.08671706402220007,5.062361974153457e-15
W9_STRESS,iced,lon_3211_02_12_ID_3.csv,541,468,0,0.06261223641851253,3.631900748745087e-15
W9_STRESS,clean,lon_3211_15_6_ID_1.csv,569,435,0,0.09089601187294934,5.211017381832144e-15
W9_STRESS,iced,lon_3211_15_6_ID_1.csv,671,488,0,0.09059922793317199,3.7942639852651104e-15
W9_STRESS,clean,lon_3211_15_6_ID_2.csv,699,577,0,0.08013439514781555,5.295521158673687e-15
W9_STRESS,iced,lon_3211_15_6_ID_2.csv,597,414,0,0.08299072459300195,3.5115030359067126e-15
W9_STRESS,clean,lon_3211_15_6_ID_3.csv,572,436,0,0.0849397001756798,4.976027426819072e-15
W9_STRESS,iced,lon_3211_15_6_ID_3.csv,648,468,0,0.08629660954377466,3.4794133904619665e-15
W9_STRESS,clean,lon_db_03_12_ID_1.csv,332,297,0,0.09343287353081671,5.3353043936697554e-15
W9_STRESS,iced,lon_db_03_12_ID_1.csv,307,270,0,0.12175695796729517,4.09082870467211e-15
W9_STRESS,clean,lon_db_03_12_ID_2.csv,412,376,0,0.07227228118434598,5.414088485438661e-15
W9_STRESS,iced,lon_db_03_12_ID_2.csv,426,375,0,0.08762778042122987,3.5680581240039465e-15
W9_STRESS,clean,lon_db_03_12_ID_3.csv,333,297,0,0.08442976288587475,5.177661385455158e-15
W9_STRESS,iced,lon_db_03_12_ID_3.csv,319,271,0,0.09843468225070878,3.33420023767566e-15
W9_STRESS,clean,lon_db_23_6_ID_1.csv,469,393,0,0.06800123015368287,5.3638777774292864e-15
W9_STRESS,iced,lon_db_23_6_ID_1.csv,581,500,0,0.09780933201615413,3.715731248753038e-15
W9_STRESS,clean,lon_db_23_6_ID_2.csv,522,464,0,0.08168181521121831,5.8366012969854375e-15
W9_STRESS,iced,lon_db_23_6_ID_2.csv,592,528,0,0.10258426552538946,3.8312573572714575e-15
W9_STRESS,clean,lon_db_23_6_ID_3.csv,695,636,0,0.07735899167538683,5.349195567355233e-15
W9_STRESS,iced,lon_db_23_6_ID_3.csv,641,557,0,0.10266804160362661,4.059010088421896e-15
