outer_hold_id,config_id,inner_fold,seed,primary_score,train_groups,validation_groups,train_rows,validation_rows,loss_epoch1,loss_epoch120,parameter_count
2,MLP_64_64_LR_3e-4,1,20260919,0.7104261940714189,10,8,8862,6225,0.9789972674025623,0.3619994606288448,5190
2,MLP_64_64_LR_3e-4,1,20260920,0.7006141228675569,10,8,8862,6225,0.9822971822302402,0.3520486170951012,5190
2,MLP_64_64_LR_3e-4,2,20260919,0.7656902900415057,12,6,8725,6362,0.9809017620838894,0.41312763229958055,5190
2,MLP_64_64_LR_3e-4,2,20260920,0.7597753368308996,12,6,8725,6362,0.9876479165632995,0.4153333164730274,5190
2,MLP_64_64_LR_3e-4,3,20260919,0.5992635169544317,14,4,12587,2500,0.971970356357799,0.37069858589247445,5190
2,MLP_64_64_LR_3e-4,3,20260920,0.5951835571076604,14,4,12587,2500,0.9777882482519552,0.35934971043128827,5190
2,MLP_128_64_LR_1e-3,1,20260919,0.6675599750590421,10,8,8862,6225,0.8808153950240389,0.2544896278787047,9926
2,MLP_128_64_LR_1e-3,1,20260920,0.6759068722159304,10,8,8862,6225,0.8770617074318541,0.25411452507395177,9926
2,MLP_128_64_LR_1e-3,2,20260919,0.707028649184266,12,6,8725,6362,0.8918417808965903,0.29178768902939684,9926
2,MLP_128_64_LR_1e-3,2,20260920,0.7193479988094051,12,6,8725,6362,0.8841015595112712,0.2886153128964534,9926
2,MLP_128_64_LR_1e-3,3,20260919,0.5815502661844182,14,4,12587,2500,0.8462988211136998,0.26734224786861494,9926
2,MLP_128_64_LR_1e-3,3,20260920,0.5712728451208621,14,4,12587,2500,0.8528843160715335,0.26416329437160446,9926
2,MLP_128_64_LR_3e-4,1,20260919,0.6836783223103238,10,8,8862,6225,0.9614421921351833,0.3222847209841603,9926
2,MLP_128_64_LR_3e-4,1,20260920,0.6801951982256372,10,8,8862,6225,0.9572551244823453,0.3216634672826759,9926
2,MLP_128_64_LR_3e-4,2,20260919,0.7505452288828821,12,6,8725,6362,0.9656992837494467,0.37319391749521236,9926
2,MLP_128_64_LR_3e-4,2,20260920,0.7501431876558312,12,6,8725,6362,0.9600147012526524,0.37733575460757773,9926
2,MLP_128_64_LR_3e-4,3,20260919,0.5865688161297787,14,4,12587,2500,0.9507181465002946,0.3375353933717779,9926
2,MLP_128_64_LR_3e-4,3,20260920,0.5896010903801111,14,4,12587,2500,0.9528065880147016,0.3340890569857553,9926
2,MLP_128_128_64_LR_1e-3,1,20260919,0.6790950333109671,10,8,8862,6225,0.9127972148119103,0.2248882205038872,26438
2,MLP_128_128_64_LR_1e-3,1,20260920,0.6781576998042023,10,8,8862,6225,0.9216703953187592,0.22359688103670355,26438
2,MLP_128_128_64_LR_1e-3,2,20260919,0.7351006429916727,12,6,8725,6362,0.9204963866792921,0.2533822626894778,26438
2,MLP_128_128_64_LR_1e-3,2,20260920,0.699640820239469,12,6,8725,6362,0.9269527329060543,0.25266487988041003,26438
2,MLP_128_128_64_LR_1e-3,3,20260919,0.5706555610981404,14,4,12587,2500,0.8737051952683559,0.22735641212724095,26438
2,MLP_128_128_64_LR_1e-3,3,20260920,0.583887132066537,14,4,12587,2500,0.8836599920848743,0.22370789446695985,26438
2,MLP_128_128_64_LR_3e-4,1,20260919,0.6660543287323804,10,8,8862,6225,0.9807433889315152,0.2784386870576292,26438
2,MLP_128_128_64_LR_3e-4,1,20260920,0.6658973506308562,10,8,8862,6225,0.9837141093977151,0.2800712801194778,26438
2,MLP_128_128_64_LR_3e-4,2,20260919,0.7126031694887957,12,6,8725,6362,0.9820904899570737,0.3177326457705553,26438
2,MLP_128_128_64_LR_3e-4,2,20260920,0.7301803201169987,12,6,8725,6362,0.9859499078473549,0.324178254542383,26438
2,MLP_128_128_64_LR_3e-4,3,20260919,0.572497167493753,14,4,12587,2500,0.9725149231253041,0.29458492958629484,26438
2,MLP_128_128_64_LR_3e-4,3,20260920,0.5787210843406004,14,4,12587,2500,0.9771709964637965,0.28933098582269484,26438
3,MLP_64_64_LR_1e-3,1,20260919,0.7131038908736246,10,8,9350,6068,0.9294186965834248,0.29820643304444316,5190
3,MLP_64_64_LR_1e-3,1,20260920,0.7174664393570943,10,8,9350,6068,0.94044736787701,0.2922509994270496,5190
3,MLP_64_64_LR_1e-3,2,20260919,0.815729209420177,12,6,9013,6405,0.9327555532571719,0.31950349999512256,5190
3,MLP_64_64_LR_1e-3,2,20260920,0.7751420026452017,12,6,9013,6405,0.9454235823464914,0.31603251321090675,5190
3,MLP_64_64_LR_1e-3,3,20260919,0.5604678527521246,14,4,12473,2945,0.9100900838856343,0.31594710418601635,5190
3,MLP_64_64_LR_1e-3,3,20260920,0.5576614546314842,14,4,12473,2945,0.9222258957113215,0.31790116948516445,5190
3,MLP_64_64_LR_3e-4,1,20260919,0.747865952686794,10,8,9350,6068,0.9801642932639478,0.3851930641968721,5190
3,MLP_64_64_LR_3e-4,1,20260920,0.741553332340858,10,8,9350,6068,0.9827215786334796,0.36886170149942593,5190
3,MLP_64_64_LR_3e-4,2,20260919,0.8110845913167352,12,6,9013,6405,0.9806382199154955,0.4166092412163592,5190
3,MLP_64_64_LR_3e-4,2,20260920,0.8043089742482159,12,6,9013,6405,0.9869178661446866,0.41303518569821324,5190
3,MLP_64_64_LR_3e-4,3,20260919,0.5817707224672191,14,4,12473,2945,0.9732345603506856,0.4016240586551902,5190
3,MLP_64_64_LR_3e-4,3,20260920,0.5790795914300071,14,4,12473,2945,0.9790417951004112,0.39256612368178084,5190
3,MLP_128_64_LR_1e-3,1,20260919,0.716352748470895,10,8,9350,6068,0.8824857230768287,0.2775294525325061,9926
3,MLP_128_64_LR_1e-3,1,20260920,0.7219887884359544,10,8,9350,6068,0.8804741757594966,0.27784636105009597,9926
3,MLP_128_64_LR_1e-3,2,20260919,0.7802466197049904,12,6,9013,6405,0.8941999769017177,0.294930880935826,9926
3,MLP_128_64_LR_1e-3,2,20260920,0.7961777879025008,12,6,9013,6405,0.8805962515197122,0.29548247416564055,9926
3,MLP_128_64_LR_1e-3,3,20260919,0.5620610323780851,14,4,12473,2945,0.8552072420224746,0.2980887037296713,9926
3,MLP_128_64_LR_1e-3,3,20260920,0.5599211118860321,14,4,12473,2945,0.8536315094814317,0.29532790681156695,9926
3,MLP_128_64_LR_3e-4,1,20260919,0.7295688902833474,10,8,9350,6068,0.9634908474516304,0.3420263911688404,9926
3,MLP_128_64_LR_3e-4,1,20260920,0.7268480271318079,10,8,9350,6068,0.9581370071050997,0.340106763987694,9926
3,MLP_128_64_LR_3e-4,2,20260919,0.785335208051822,12,6,9013,6405,0.9671868310577151,0.3791543687084773,9926
3,MLP_128_64_LR_3e-4,2,20260920,0.7877031095110938,12,6,9013,6405,0.958725427191161,0.3774791169001668,9926
3,MLP_128_64_LR_3e-4,3,20260919,0.5709166417801249,14,4,12473,2945,0.9539667754134386,0.36787526164424805,9926
3,MLP_128_64_LR_3e-4,3,20260920,0.5816441272034291,14,4,12473,2945,0.9529081236249168,0.3652758303017618,9926
3,MLP_128_128_64_LR_1e-3,1,20260919,0.7299618312715666,10,8,9350,6068,0.9146073028925867,0.2450722758121802,26438
3,MLP_128_128_64_LR_1e-3,1,20260920,0.7236449239000352,10,8,9350,6068,0.9222511229506556,0.2433666386415198,26438
3,MLP_128_128_64_LR_1e-3,2,20260919,0.8017563728964535,12,6,9013,6405,0.9192445005523655,0.2519811979280701,26438
3,MLP_128_128_64_LR_1e-3,2,20260920,0.7991367988866863,12,6,9013,6405,0.9255636070729419,0.25127006100356636,26438
3,MLP_128_128_64_LR_1e-3,3,20260919,0.5657110564714877,14,4,12473,2945,0.8801640711376987,0.24742978101880175,26438
3,MLP_128_128_64_LR_1e-3,3,20260920,0.5781540448775367,14,4,12473,2945,0.886081026978791,0.24867651172160926,26438
3,MLP_128_128_64_LR_3e-4,1,20260919,0.7112212644412464,10,8,9350,6068,0.9811496520392157,0.3049277529102478,26438
3,MLP_128_128_64_LR_3e-4,1,20260920,0.7084777101730685,10,8,9350,6068,0.9840496327214153,0.3028882859206405,26438
3,MLP_128_128_64_LR_3e-4,2,20260919,0.7628831881356386,12,6,9013,6405,0.9821590842537729,0.32742168571659813,26438
3,MLP_128_128_64_LR_3e-4,2,20260920,0.7725815322158783,12,6,9013,6405,0.985381883544467,0.3273723314467456,26438
3,MLP_128_128_64_LR_3e-4,3,20260919,0.5638909591453493,14,4,12473,2945,0.9738193244033253,0.3221032051990462,26438
3,MLP_128_128_64_LR_3e-4,3,20260920,0.568289756338037,14,4,12473,2945,0.9774123000971463,0.31827049749764125,26438
