configuration,file_name,source_rows,retained_rows,C_X_body_median,C_X_body_p05,C_X_body_p95,C_Y_body_median,C_Y_body_p05,C_Y_body_p95,C_Z_body_median,C_Z_body_p05,C_Z_body_p95,C_D_drag_median,C_D_drag_p05,C_D_drag_p95,C_Y_wind_median,C_Y_wind_p05,C_Y_wind_p95,C_L_lift_median,C_L_lift_p05,C_L_lift_p95,C_l_roll_median,C_l_roll_p05,C_l_roll_p95,C_m_pitch_median,C_m_pitch_p05,C_m_pitch_p95,C_n_yaw_median,C_n_yaw_p05,C_n_yaw_p95
clean,lat_121_01_15_ID_1.csv,289,285,-0.03559219080987096,-0.04163388167803394,-0.02223324871990721,0.0018321864893804888,-0.011002640566231237,0.012832341833747726,-0.2512842758248301,-0.3226105510281713,-0.16744394619656022,0.03959392382754176,0.023671199309691433,0.048840346889120624,0.0003238296726498155,-0.012601316127330234,0.010445145147849066,0.2508716713490876,0.16721035328789305,0.3217664656572824,0.000719031577476332,-0.001935110950728579,0.003699705617835993,0.0001670925162014701,-0.004245499411478333,0.004216083468079317,-3.692676225663062e-05,-0.000601631894325871,0.0007318206105671423
clean,lat_121_01_15_ID_2.csv,353,349,-0.04592944065471462,-0.052654633295215116,-0.03806824480462793,-0.000634645452128902,-0.010012773843488657,0.008866011566426137,-0.2662652610294143,-0.31222515774844467,-0.21763232189946935,0.052343212417289585,0.041781981968470217,0.05730356664839567,-0.003637572909660725,-0.012152361194304517,0.00602722515335293,0.2648824489410456,0.2171953893525138,0.311475785869849,0.0010506272705674297,-0.0008615769992775177,0.00306552789541935,2.0438077902007205e-05,-0.0025916995960112406,0.0027573468876716124,-4.79879795867557e-06,-0.0005390966850994641,0.0005578120231024313
clean,lat_121_01_15_ID_3.csv,318,314,-0.03578650747207091,-0.04283829938700917,-0.02161081134227119,0.0015513363406006535,-0.009684757340370404,0.0121074271159315,-0.2490469717424735,-0.327099813658945,-0.17688531483087205,0.03786292153795803,0.021404696421806618,0.052057521670216836,0.00018041838751623222,-0.010301771106515487,0.010619796766876704,0.24913868951672202,0.17706687101065616,0.32557773757845593,0.0008559526229624655,-0.0009623147804665685,0.002748412747913881,4.280716588096975e-05,-0.0037876563410031774,0.004286408073179536,-2.0387010656981672e-05,-0.0006181003715961756,0.0007084306903299368
clean,lat_121_05_8_ID_1.csv,355,351,-0.03623300525523156,-0.046654393217893705,-0.02667011137769988,0.00040337949626953376,-0.014855977728278095,0.023992552625983557,-0.2521853890739882,-0.34414168436889925,-0.18146406148114683,0.03962746016299398,0.025093600969655634,0.054844772227355565,0.00037033863340686613,-0.014689759812416946,0.02209821825801171,0.2525268749738054,0.1821658103178091,0.3442667801149775,0.0009057713025448095,-0.003275665122269458,0.005115951073889936,0.00024450889317379783,-0.005456266119875959,0.005507352810043424,4.4007775227901574e-05,-0.0013175544087074488,0.0008819165217656967
clean,lat_121_05_8_ID_2.csv,439,435,-0.04102130050337577,-0.0479691941997506,-0.03407260514139496,0.0006144096251038054,-0.01897915624917873,0.02189533510953686,-0.25819814393898816,-0.33840221199284004,-0.179540231232862,0.04436697386119175,0.03508419867669083,0.05217182742777739,0.0008934305549875154,-0.015375516668011766,0.019404225232806396,0.25810477654385916,0.1793770574671448,0.33823392779326716,0.000979735616872152,-0.002051386335175688,0.00442512844269074,2.189569405302492e-05,-0.00492330630159282,0.005316682092015395,3.63745424123641e-05,-0.0010192154143100253,0.001246363626978402
clean,lat_121_05_8_ID_3.csv,304,300,-0.03499102322506839,-0.04036195576734485,-0.030753377705512862,0.0007596448175936229,-0.018344980711600754,0.028760129004285734,-0.24918428406117332,-0.31160324050699484,-0.18596527928155016,0.03810199600367109,0.0312482514190925,0.045245780892019485,-0.0005965669311246755,-0.01880406703786186,0.024668381538610226,0.24928289224879863,0.18542401077591908,0.31123914206687986,0.0009518030619995855,-0.003004099030777218,0.005181067483765663,5.939958241585203e-05,-0.003578440204519762,0.004307422552890304,-5.132090698694566e-06,-0.0015252891993462157,0.0013404668249713057
clean,lat_db_01_15_ID_1.csv,354,350,-0.03465477707829206,-0.04200795462813067,-0.02713439148696751,0.0012602526653658387,-0.00935117438177971,0.011909350373241059,-0.24199012366881176,-0.3083633165022792,-0.15503349964362134,0.03746738688378015,0.028161056959086574,0.047358417104305675,0.0007201310851428437,-0.009832861695771338,0.010434546656342952,0.24158280168223079,0.1551846853464902,0.30783013315543056,0.0008321302435251401,-0.0013830042443250018,0.0028288596005334957,-1.9033600536570893e-05,-0.004840461915039854,0.004527104303746399,-5.276062392802082e-06,-0.0006607020648243581,0.0006142836665405165
clean,lat_db_01_15_ID_2.csv,393,389,-0.042479788941431174,-0.05608897759390566,-0.03434894734303959,0.000838351221669951,-0.012777376375589596,0.014210654084643594,-0.25390963434274394,-0.32870235341137805,-0.17835838168552606,0.04953626680904442,0.03520557966546551,0.0660951701794657,0.0007379132095274608,-0.012033469284647014,0.012996361969269813,0.25326698582630486,0.17900570364644344,0.3262234676718164,0.000993376530574362,-0.0017557825187831224,0.004084376792130158,-5.591345424869903e-05,-0.005083273018381764,0.0047781916442415275,-2.8142725375867458e-05,-0.0007893949229612181,0.0008929873300652809
clean,lat_db_01_15_ID_3.csv,321,317,-0.034634063612590256,-0.04830739360907073,-0.024988493086561776,0.000804799298123471,-0.012457290840425442,0.01489561922519027,-0.238936645090167,-0.31870468322162754,-0.14817676361439705,0.03896664994781695,0.027678755721553025,0.0522560825556856,-0.00010475103233807522,-0.012870668846024958,0.013472959861360125,0.2388982742070606,0.14796643505590543,0.3175373811056545,0.0008268001419135982,-0.002198706108734582,0.003924839217924088,0.00010790579990015446,-0.005174383416071765,0.005589404604603436,1.222229358187214e-05,-0.0007463992761791135,0.0006588639832330044
clean,lat_db_06_8_ID_1.csv,377,373,-0.0391879063263816,-0.044861283418721504,-0.03066086059281425,-0.000498271212778215,-0.013677444782632771,0.014560944934813518,-0.2177685211362407,-0.28675407784289286,-0.1570078043185381,0.04209341249025983,0.035296894685146324,0.04989045834949133,-0.0017229182654025373,-0.013637543213734112,0.011982619966046512,0.21721395389653492,0.15687884871803207,0.28612050218551766,0.0009774579678398542,-0.0010333552957424454,0.003302530131785368,-1.1098715328902964e-06,-0.004135118754582337,0.0038154458228809307,-9.487652884475955e-06,-0.0008822427861734092,0.0007374447798275869
